Code station;Ref Typo CE
04161595;B4
04162300;B6
04162958;B5
04163000;B6
04163050;B4
04163500;B6
04164758;B5
04164850;B5
04166800;B5
04167000;B5
04167750;B4
04167815;B4
04168140;B6
04171450;B5
04171670;B4
04172030;B5
04172570;B3
04172860;B4
04173200;B4
04173405;B3
04173737;B4
04174250;B4
04174520;B4
04174660;B4
04175100;B4
04175450;B4
04177250;B3
04177320;B3
04178000;B5
04178103;B4
04178455;B5
04178486;B5
04178650;B6
04178850;B4
04179000;B5
04179500;B6
04179565;B3
04179690;B3
04180100;B5
04180900;B3
04181960;B3
04182000;B4
04184195;B3
04184600;B4
04184950;B5
04186700;B4
04187525;B5
04187710;B4
04188000;B5
04190000;B5
04190650;B4
04191410;B5
04192550;B4
04192830;B6
04192950;B5
04194000;B6
04194500;B4
04195000;B6
04195400;B4
04195950;B5
04196008;B5
04196095;B4
04196449;B7
04196950;B6
04197600;B7
04197818;B5
04199078;B7
04199200;B7
04199370;
04199490;B6
04199865;B5
04201185;B5
04204300;B6
04205500;B6
04205605;B5
04207400;B5
04209000;B7
04209990;B8
04210800;
04211000;
04211550;B6
04212700;B7
04214295;B5
04215750;B8
04216000;B8
04217100;B5
